arch_name	status	nix_attr	mapping_kind
bgp-md5crack	unmatched		
bgrep	unmatched		
billcipher	unmatched		
binaryninja	unmatched		
bind	direct	bind	exact-validated
bindead	unmatched		
bindiff	unmatched		
binex	unmatched		
binflow	unmatched		
bing-ip2hosts	unmatched		
bing-lfi-rfi	unmatched		
bingoo	unmatched		
binnavi	unmatched		
binproxy	unmatched		
binwally	unmatched		
bios_memimage	unmatched		
birdfont	direct	birdfont	exact-validated
birp	unmatched		
bitdump	unmatched		
bittwist	unmatched		
bitwig-studio	direct	bitwig-studio	exact-validated
bkcrack	direct	bkcrack	exact-validated
bkhive	unmatched		
blackarch-config-awesome	unmatched		
blackarch-config-bash	unmatched		
blackarch-config-calamares	unmatched		
blackarch-config-cursor	unmatched		
blackarch-config-fluxbox	unmatched		
blackarch-config-gtk	unmatched		
blackarch-config-i3	unmatched		
blackarch-config-icons	unmatched		
blackarch-config-lxdm	unmatched		
blackarch-config-openbox	unmatched		
blackarch-config-spectrwm	unmatched		
blackarch-config-vim	unmatched		
blackarch-config-x11	unmatched		
blackarch-config-xfce	unmatched		
blackarch-config-zsh	unmatched		
blackarch-keyring	unmatched		
blackarch-menus	unmatched		
blackarch-mirrorlist	unmatched		
blackarch-officials	unmatched		
blackbox-scanner	unmatched		
blackeye	unmatched		
blackhash	unmatched		
blacknurse	unmatched		
bleah	unmatched		
blender	direct	blender	exact-validated
bless	unmatched		
bletchley	unmatched		
blind-sql-bitshifting	unmatched		
blindelephant	unmatched		
blindsql	unmatched		
blindy	unmatched		
blisqy	unmatched		
bloodhound	unmatched		
bloodhound-ce-python	unmatched		
bloodhound-cli	unmatched		
bloodhound-python	unmatched		
bloodyad	unmatched		
blosc	unmatched		
blue-hydra	unmatched		
bluebox-ng	unmatched		
bluebugger	unmatched		
bluedevil	unmatched		
bluediving	unmatched		
bluefog	unmatched		
bluelog	unmatched		
bluepot	unmatched		
blueprint	unmatched		
blueranger	unmatched		
bluescan	unmatched		
bluesnarfer	direct	bluesnarfer	exact-validated
bluetooth-autoconnect	unmatched		
bluetooth-support	unmatched		
bluez-cups	unmatched		
bluffy	unmatched		
bluphish	unmatched		
bluto	unmatched		
bmap-tools	unmatched		
bmc-tools	direct	bmc-tools	exact-validated
bob-the-butcher	unmatched		
bof-detector	unmatched		
bonesi	unmatched		
boofuzz	direct	boofuzz	exact-validated
boopsuite	unmatched		
bopscrk	unmatched		
botan	unmatched		
botb	unmatched		
bowcaster	unmatched		
box-js	unmatched		
bqm	unmatched		
braa	direct	braa	exact-validated
braces	unmatched		
brainstorm	unmatched		
brakeman	direct	brakeman	exact-validated
brave-bin	alias	brave	strip-variant-suffix
bridge-utils	direct	bridge-utils	exact-validated
bridgekeeper	unmatched		
brosec	unmatched		
browselist	unmatched		
browser-fuzzer	unmatched		
brute-force	unmatched		
brute12	unmatched		
bruteforce-luks	direct	bruteforce-luks	exact-validated
bruteforce-salted-openssl	direct	bruteforce-salted-openssl	exact-validated
bruteforce-wallet	direct	bruteforce-wallet	exact-validated
brutemap	unmatched		
brutespray	direct	brutespray	exact-validated
brutessh	unmatched		
brutex	unmatched		
