arch_name	status	nix_attr	mapping_kind
freedownloadmanager	unmatched		
freetype2	unmatched		
freewifi	unmatched		
frei0r-plugins	unmatched		
frida-extract	unmatched		
frida-ios-dump	unmatched		
fridump	unmatched		
frisbeelite	unmatched		
fs-exploit	unmatched		
fs-nyarl	unmatched		
fscan	direct	fscan	exact-validated
fscrypt	direct	fscrypt	exact-validated
fsnoop	unmatched		
fssb	unmatched		
fstealer	unmatched		
ftester	unmatched		
ftp-fuzz	unmatched		
ftp-scanner	unmatched		
ftp-spider	unmatched		
ftpmap	unmatched		
ftpscout	unmatched		
fuddly	unmatched		
fusil	unmatched		
fuxploider	unmatched		
fuzzap	unmatched		
fuzzball2	unmatched		
fuzzbunch	unmatched		
fuzzdb	direct	fuzzdb	exact-validated
fuzzdiff	unmatched		
fuzzowski	unmatched		
fuzztalk	unmatched		
fwupd	direct	fwupd	exact-validated
g72x++	unmatched		
gadgetinspector	unmatched		
gadgettojscript	unmatched		
galleta	direct	galleta	exact-validated
garak	unmatched		
garcon	direct	garcon	exact-validated
garuda-blackarch	unmatched		
garuda-browser-settings	unmatched		
garuda-common-settings	unmatched		
garuda-config-agent	unmatched		
garuda-dracut-support	unmatched		
garuda-fish-config	unmatched		
garuda-hardware-profile-nvidia	unmatched		
garuda-hardware-profile-standard	unmatched		
garuda-hardware-tool	unmatched		
garuda-hooks	unmatched		
garuda-icons	unmatched		
garuda-mokka	unmatched		
garuda-network-assistant	unmatched		
garuda-nix-subsystem	unmatched		
garuda-setup-assistant	unmatched		
garuda-system-maintenance	unmatched		
garuda-toolbox	unmatched		
garuda-wallpapers	unmatched		
gasmask	unmatched		
gatecrasher	unmatched		
gau	direct	gau	exact-validated
gawk	direct	gawk	exact-validated
gcat	unmatched		
gcc-libs	unmatched		
gcc14-libs	unmatched		
gcpbucketbrute	unmatched		
gcrypt	unmatched		
gd	direct	gd	exact-validated
gdbgui	direct	gdbgui	exact-validated
gdir.pl	unmatched		
geary	direct	geary	exact-validated
gegl	direct	gegl	exact-validated
gene	unmatched		
genisys	unmatched		
genlist	unmatched		
genymotion	unmatched		source-unavailable
geocode-glib	unmatched		
geoedge	unmatched		
geoip	direct	geoip	exact-validated
geoip-database	unmatched		
geoipgen	unmatched		
gerix-wifi-cracker	unmatched		
gethsploit	unmatched		
getsids	unmatched		
getsploit	direct	getsploit	exact-validated
gettext	direct	gettext	exact-validated
gf	direct	gf	exact-validated
gfxstream	direct	gfxstream	exact-validated
gg-images	unmatched		
gggooglescan	unmatched		
gh-dork	unmatched		
ghauri	direct	ghauri	exact-validated
ghettotooth	unmatched		
ghidriff	unmatched		
ghost	direct	ghost	exact-validated
ghost-phisher	unmatched		
ghost-py	unmatched		
ghostdelivery	unmatched		
ghostpack	unmatched		
ghunt	direct	ghunt	exact-validated
gimp	direct	gimp	exact-validated
girsh	direct	girsh	exact-validated
giskismet	unmatched		
git-dump	unmatched		
git-dumper	direct	git-dumper	exact-validated
git-hound	direct	git-hound	exact-validated
git-wild-hunt	unmatched		
gitdorker	unmatched		
gitdump	unmatched		
gitem	unmatched		
gitgraber	unmatched		
githack	unmatched		
githound	unmatched		
github-cli	direct	github-cli	exact-validated
github-desktop	direct	github-desktop	exact-validated
github-dorks	unmatched		
github-subdomains	unmatched		
githubcloner	unmatched		
gitkraken	direct	gitkraken	exact-validated
gitmails	unmatched		
gitminer	unmatched		
gitrecon	unmatched		
gitrob	unmatched		
gittools	unmatched		
gjs	direct	gjs	exact-validated
glew	direct	glew	exact-validated
glfw	direct	glfw	exact-validated
glib2-docs	unmatched		
glibc	direct	glibc	exact-validated
glibmm	direct	glibmm	exact-validated
glm	direct	glm	exact-validated
gloom	unmatched		
glpwnme	unmatched		
glue	unmatched		
glycin-gtk4	unmatched		
gmic	direct	gmic	exact-validated
gmime3	direct	gmime3	exact-validated
gmsadumper	unmatched		
gnome-app-list	unmatched		
gnome-autoar	direct	gnome-autoar	exact-validated
gnome-boxes	direct	gnome-boxes	exact-validated
gnome-builder	direct	gnome-builder	exact-validated
gnome-desktop	direct	gnome-desktop	exact-validated
gnome-desktop-common	unmatched		
gnome-firmware	direct	gnome-firmware	exact-validated
gnome-online-accounts	direct	gnome-online-accounts	exact-validated
gnome-software	direct	gnome-software	exact-validated
go-exploitdb	direct	go-exploitdb	exact-validated
go-windapsearch	unmatched		
gobd	unmatched		
gocabrito	unmatched		
goddi	unmatched		
goldeneye	unmatched		
gom	direct	gom	exact-validated
gomapenum	direct	gomapenum	exact-validated
goodork	unmatched		
goofuzz	unmatched		
goog-mail	unmatched		
google-chrome-canary	unmatched		
google-explorer	unmatched		
googlesub	unmatched		
goop	unmatched		
goop-dump	unmatched		
gooscan	unmatched		
gopherus	unmatched		
gophish	direct	gophish	exact-validated
goshs	direct	goshs	exact-validated
gosint	unmatched		
gospider	direct	gospider	exact-validated
gostringsr2	unmatched		
gowitness	direct	gowitness	exact-validated
gplist	unmatched		
gpocrack	unmatched		
gpowned	unmatched		
gpp-decrypt	unmatched		
gpredict	direct	gpredict	exact-validated
gps-sdr-sim	unmatched		
gqrx-scanner	unmatched		
gr-air-modes	unmatched		
gr-dect2	direct	gr-dect2	exact-validated
gr-paint	unmatched		
grabbb	unmatched		
grabber	unmatched		
grabing	unmatched		
grabitall	unmatched		
graffiti	unmatched		
grammarinator	unmatched		
grantleetheme	unmatched		
graphicsmagick	direct	graphicsmagick	exact-validated
graphinder	direct	graphinder	exact-validated
graphql-cop	unmatched		
graphql-path-enum	unmatched		
graphqlmap	direct	graphqlmap	exact-validated
graphviz	direct	graphviz	exact-validated
graphw00f	direct	graphw00f	exact-validated
graudit	unmatched		
grep	unmatched		
grepforrfi	unmatched		
grokevt	unmatched		
grpc-pentest-suite	unmatched		
grr	unmatched		
grub	unmatched		
grub-btrfs	unmatched		
grub-garuda	unmatched		
grype	direct	grype	exact-validated
gsd	direct	gsd	exact-validated
gsfonts	unmatched		
gsl	direct	gsl	exact-validated
gsmevil2	unmatched		
gsound	direct	gsound	exact-validated
gspoof	unmatched		
gst-plugin-gtk4	unmatched		
gst-python	unmatched		
gstreamer-meta	unmatched		
gtalk-decode	unmatched		
gtfo	unmatched		
gtfoblookup	unmatched		
gtk-doc	direct	gtk-doc	exact-validated
gtk-vnc	direct	gtk-vnc	exact-validated
gtk2-perl	unmatched		
gtkmm3	direct	gtkmm3	exact-validated
gtksourceview4	direct	gtksourceview4	exact-validated
gtksourceview5	direct	gtksourceview5	exact-validated
gtp-scan	unmatched		
gts	direct	gts	exact-validated
gumbo-parser	unmatched		
gutenprint	direct	gutenprint	exact-validated
guvcview	direct	guvcview	exact-validated
guvcview-common	unmatched		
guymager	direct	guymager	exact-validated
gwcheck	unmatched		
gwenview	unmatched		
gwtenum	unmatched		
gzip	direct	gzip	exact-validated
h2buster	unmatched		
h2csmuggler	unmatched		
h2spec	direct	h2spec	exact-validated
h2t	unmatched		
h8mail	direct	h8mail	exact-validated
habu	unmatched		
hackersh	unmatched		
hackredis	unmatched		
hacktv	unmatched		
haiti	direct	haiti	exact-validated
haka	unmatched		
hakku	unmatched		
hakrawler	direct	hakrawler	exact-validated
hakrevdns	unmatched		
halcyon	unmatched		
halcyon-ide	unmatched		
handbrake	direct	handbrake	exact-validated
handle	unmatched		
harness	unmatched		
harpoon	unmatched		
hasere	unmatched		
hash-buster	unmatched		
hash-extender	alias	hash_extender	hyphen-to-underscore
hash-identifier	direct	hash-identifier	exact-validated
hashcatch	unmatched		
hashcheck	unmatched		
hashdb	unmatched		
hashdeep	direct	hashdeep	exact-validated
hasher	unmatched		
hashfind	unmatched		
hashid	direct	hashid	exact-validated
hashpeek	unmatched		
hashpump	direct	hashpump	exact-validated
hashrat	direct	hashrat	exact-validated
hashtag	unmatched		
hatcloud	unmatched		
hate-crack	unmatched		
havoc-c2	unmatched		
haystack	unmatched		
hbad	unmatched		
hblock	direct	hblock	exact-validated
hcraft	unmatched		
hdf5	direct	hdf5	exact-validated
hdmi-sniff	unmatched		
heaptrace	unmatched		
heartbleed-honeypot	unmatched		
heartleech	unmatched		
hekatomb	direct	hekatomb	exact-validated
hellraiser	unmatched		
hemingway	unmatched		
hercules-payload	unmatched		
hetty	unmatched		
hex2bin	unmatched		
hexhttp	unmatched		
hexinject	unmatched		
hexodus	unmatched		
hexorbase	unmatched		
hharp	unmatched		
hidattack	unmatched		
hiddeneye	unmatched		
hiddeneye-legacy	unmatched		
hikpwn	unmatched		
hlextend	unmatched		
hoaxshell	unmatched		
hodor	unmatched		
holehe	direct	holehe	exact-validated
hollows-hunter	unmatched		
homepwn	unmatched		
honeycreds	unmatched		
honeyd	unmatched		
honeypy	unmatched		
honggfuzz	direct	honggfuzz	exact-validated
honssh	unmatched		
hookanalyser	unmatched		
hookshot	unmatched		
hoover	unmatched		
hoper	unmatched		
hopper	direct	hopper	exact-validated
hoppy	unmatched		
horusec	unmatched		
host-extract	unmatched		
hostapd-mana	direct	hostapd-mana	exact-validated
hostapd-wpe	unmatched		
hostbox-ssh	unmatched		
hosthunter	unmatched		
hotpatch	direct	hotpatch	exact-validated
hotspotter	unmatched		
howmanypeoplearearound	unmatched		
hpfeeds	unmatched		
hqlmap	unmatched		
hsecscan	unmatched		
htcap	unmatched		
htexploit	unmatched		
htop	direct	htop	exact-validated
htpwdscan	unmatched		
htrosbif	unmatched		
htshells	unmatched		
http-enum	unmatched		
http-fuzz	unmatched		
http-put	unmatched		
http-traceroute	unmatched		
http2smugl	unmatched		
httpbog	unmatched		
httpforge	unmatched		
httpgrep	unmatched		
httppwnly	unmatched		
httprecon	unmatched		
httprint	unmatched		
httprint-win32	unmatched		
httprobe	direct	httprobe	exact-validated
httpry	unmatched		
httpscreenshot	unmatched		
httpsniff	unmatched		
httpsscanner	unmatched		
hubbit-sniffer	unmatched		
hulk	unmatched		
hungry-interceptor	unmatched		
hurl-encoder	unmatched		
hwk	unmatched		
hxd	unmatched		
hyde	unmatched		
hyenae	unmatched		
hyperfox	unmatched		
hyperion-crypter	unmatched		
hypnotix	direct	hypnotix	exact-validated
iaxflood	unmatched		
iaxscan	unmatched		
ibrute	unmatched		
icloudbrutter	unmatched		
icmpquery	unmatched		
icmpsh	unmatched		
icmptx	unmatched		
id-entify	unmatched		
id3lib	direct	id3lib	exact-validated
ida-free	unmatched		manual-source-required
idb	unmatched		
identywaf	unmatched		
idswakeup	unmatched		
ifchk	unmatched		
ifuzz	unmatched		
iheartxor	unmatched		
iis-shortname-scanner	unmatched		
iisbruteforcer	unmatched		
ikecrack	unmatched		
ikeforce	unmatched		
ikeprobe	unmatched		
ikeprober	unmatched		
ilo4-toolbox	unmatched		
ilty	unmatched		
imagegrep	unmatched		
imagejs	unmatched		
imagemounter	unmatched		
imhex	direct	imhex	exact-validated
impulse	unmatched		
inception	unmatched		
indx2csv	unmatched		
indxcarver	unmatched		
indxparse	unmatched		
inetsim	unmatched		
inetutils	direct	inetutils	exact-validated
infection-monkey	unmatched		
infip	unmatched		
infoga	unmatched		
inguma	unmatched		
iniparser	direct	iniparser	exact-validated
injectus	unmatched		
inkscape	direct	inkscape	exact-validated
innounp	unmatched		
input-devices-support	unmatched		
inquisitor	unmatched		
insanity	unmatched		
instagramosint	unmatched		
instashell	unmatched		
intel-compute-runtime	direct	intel-compute-runtime	exact-validated
intel-graphics-compiler	direct	intel-graphics-compiler	exact-validated
intel-oneapi-common	unmatched		
intel-oneapi-compiler-dpcpp-cpp-runtime-libs	unmatched		
intel-oneapi-compiler-shared-runtime-libs	unmatched		
intel-oneapi-openmp	unmatched		
intel-oneapi-tbb	unmatched		
intel-oneapi-tcm	unmatched		
intel-ucode	unmatched		
intel-undervolt	direct	intel-undervolt	exact-validated
intellij-idea-community-edition	unmatched		
intelmq	unmatched		
intelplot	unmatched		
intensio-obfuscator	unmatched		
interactsh-client	unmatched		
intercepter-ng	unmatched		
interlace	unmatched		
interrogate	unmatched		
intersect	unmatched		
intrace	unmatched		
inundator	unmatched		
inurlbr	unmatched		
inviteflood	unmatched		
invoke-cradlecrafter	unmatched		
invoke-dosfuscation	unmatched		
invoke-obfuscation	unmatched		
inxi	direct	inxi	exact-validated
inzider	unmatched		
iosforensic	unmatched		
ip-https-tools	unmatched		
ip-tracer	unmatched		
ip2clue	unmatched		
ipaudit	unmatched		
ipba2	unmatched		
ipcountry	unmatched		
ipdecap	unmatched		
iphoneanalyzer	unmatched		
ipmipwn	unmatched		
ipobfuscator	unmatched		
ipp-usb	direct	ipp-usb	exact-validated
iproute2	direct	iproute2	exact-validated
ipscan	direct	ipscan	exact-validated
ipsourcebypass	unmatched		
iptables	direct	iptables	exact-validated
iptodomain	unmatched		
iptv	unmatched		
iputils	direct	iputils	exact-validated
ipv4bypass	unmatched		
ipv666	unmatched		
ipv6toolkit	unmatched		
ircsnapshot	unmatched		
irpas	unmatched		
isf	unmatched		
isip	unmatched		
isme	unmatched		
isr-form	unmatched		
issniff	unmatched		
ivre	unmatched		
ivre-docs	unmatched		
ivre-web	unmatched		
iwd	direct	iwd	exact-validated
ja3	unmatched		
jaadas	unmatched		
jack-support	unmatched		
jack_capture	direct	jack_capture	exact-validated
jack_capture-debug	unmatched		
jack_utils	unmatched		
jackdaw	unmatched		
jaeles	direct	jaeles	exact-validated
jaidam	unmatched		
jamesdsp	direct	jamesdsp	exact-validated
jast	unmatched		
java-environment-common	unmatched		
java-openjfx	unmatched		
java-runtime-common	unmatched		
javasnoop	unmatched		
jbe	unmatched		
jboss-autopwn	unmatched		
jbrofuzz	unmatched		
jbrute	unmatched		
jcrack	unmatched		
jd-cli	unmatched		
jd-gui	unmatched		
jdeserialize	unmatched		
jdk21-openjdk	unmatched		
jeangrey	unmatched		
jeb-android	unmatched		
jeb-arm	unmatched		
jeb-intel	unmatched		
jeb-mips	unmatched		
jeb-webasm	unmatched		
jefferson	direct	jefferson	exact-validated
jenkins	direct	jenkins	exact-validated
jeopardize	unmatched		
jexboss	unmatched		
jfsutils	direct	jfsutils	exact-validated
jinjector	unmatched		
jira-scan	unmatched		
jitsi-meet-desktop	unmatched		
jndi-injection-exploit	unmatched		
jnetmap	direct	jnetmap	exact-validated
johnny	direct	johnny	exact-validated
jok3r	unmatched		
jomplug	unmatched		
jondo	unmatched		
jooforce	unmatched		
joomlascan	unmatched		
joomlavs	unmatched		
jpegdump	unmatched		
jpexs-decompiler	unmatched		
js140	unmatched		
jsearch	unmatched		
jsfuck	unmatched		
jshell	unmatched		
jsonbee	unmatched		
jsonrpc-glib	direct	jsonrpc-glib	exact-validated
jsparser	unmatched		
jsql-injection	unmatched		
jstillery	unmatched		
juicy-potato	unmatched		
junkie	direct	junkie	exact-validated
justdecompile	unmatched		
juumla	unmatched		
jwscan	unmatched		
jwt-cracker	unmatched		
jwt-hack	direct	jwt-hack	exact-validated
jwt-key-recovery	unmatched		
jwt-tool	unmatched		
jwtcat	direct	jwtcat	exact-validated
jynx2	unmatched		
k55	unmatched		
kacak	unmatched		
kadimus	unmatched		
kamerka	unmatched		
katana-framework	unmatched		
katana-pd	unmatched		
kate	unmatched		
katsnoop	unmatched		
kautilya	unmatched		
kcalendarcore	unmatched		
kcalutils	unmatched		
kcompletion5	unmatched		
kconfig5	unmatched		
kcoreaddons5	unmatched		
kcrash5	unmatched		
kdav	unmatched		
kddockwidgets	direct	kddockwidgets	exact-validated
kde-gtk-config	unmatched		
kdeconnect	unmatched		
kdegraphics-thumbnailers	unmatched		
kdenlive	unmatched		
kdepim-runtime	unmatched		
kdeplasma-addons	unmatched		
kdevelop	unmatched		
kdoctools	unmatched		
kdsingleapplication	direct	kdsingleapplication	exact-validated
keepassxc	direct	keepassxc	exact-validated
keimpx	unmatched		
kekeo	unmatched		
kerbcrack	unmatched		
kerberoast	unmatched		
kerbrute	direct	kerbrute	exact-validated
kernelpop	unmatched		
kexec-tools	direct	kexec-tools	exact-validated
keye	unmatched		
kf6-servicemenus-rootactions	unmatched		
kguiaddons5	unmatched		
kh2hc	unmatched		
khc	unmatched		
ki18n5	unmatched		
kicad	direct	kicad	exact-validated
kickthemout	unmatched		
kid3	direct	kid3	exact-validated
kid3-common	unmatched		
kidentitymanagement	unmatched		
killcast	unmatched		
killerbee	direct	killerbee	exact-validated
kimageformats	unmatched		
kimap	unmatched		
kimi	unmatched		
kinfocenter	unmatched		
kippo	unmatched		
kismet-earth	unmatched		
kismet2earth	unmatched		
kismon	unmatched		
kitemviews5	unmatched		
kiterunner	direct	kiterunner	exact-validated
kitty-framework	unmatched		
klar	unmatched		
kldap	unmatched		
klee	unmatched		
klogger	unmatched		
kmail	unmatched		
kmail-account-wizard	unmatched		
kmailtransport	unmatched		
kmbox	unmatched		
kmime	unmatched		
knock	direct	knock	exact-validated
knxmap	unmatched		
koadic	unmatched		
kodi	direct	kodi	exact-validated
kodi-eventclients	unmatched		
kodi-platform	unmatched		
kolkata	unmatched		
kolourpaint	unmatched		
konan	unmatched		
konsole	unmatched		
kontactinterface	unmatched		
kontainer-git	alias	kontainer	strip-variant-suffix
kpimtextedit	unmatched		
kquickimageeditor	unmatched		
kraken	unmatched		
krbjack	direct	krbjack	exact-validated
krbrelayx	unmatched		
krdp	unmatched		
krfb	unmatched		
krita	direct	krita	exact-validated
krita-plugin-gmic	direct	krita-plugin-gmic	exact-validated
ksanecore	unmatched		
kscan	unmatched		
kscreen	unmatched		
ksmtp	unmatched		
ksshaskpass	unmatched		
ktextaddons	unmatched		
ktexttemplate	unmatched		
ktnef	unmatched		
kube-hunter	direct	kube-hunter	exact-validated
kubesploit	unmatched		
kubestriker	unmatched		
kubolt	unmatched		
kunifiedpush	unmatched		
kvantum	unmatched		
kwallet-pam	unmatched		
kwave	unmatched		
kwayland-integration	unmatched		
kwetza	unmatched		
kwidgetsaddons5	unmatched		
kwin	unmatched		
kwin-effect-rounded-corners-git	unmatched		
l0l	unmatched		
ladspa	unmatched		
laf	unmatched		
lanmap2	unmatched		
lans	unmatched		
latd	unmatched		
laudanum	direct	laudanum	exact-validated
lazagne	unmatched		
lazydroid	unmatched		
lbmap	unmatched		
ld-shatner	unmatched		
ldap-brute	unmatched		
ldapconsole	unmatched		
ldapenum	unmatched		
ldapmonitor	direct	ldapmonitor	exact-validated
ldapscripts	unmatched		
ldapwordlistharvester	unmatched		
ldeep	direct	ldeep	exact-validated
ldsview	unmatched		
leaklooker	unmatched		
leena	unmatched		
legion	unmatched		
lensfun	direct	lensfun	exact-validated
leo	unmatched		
leroy-jenkins	unmatched		
lethalhta	unmatched		
letmefuckit-scanner	unmatched		
level-zero-loader	unmatched		
leviathan	unmatched		
levye	unmatched		
lfi-autopwn	unmatched		
lfi-exploiter	unmatched		
lfi-fuzzploit	unmatched		
lfi-image-helper	unmatched		
lfi-scanner	unmatched		
lfi-sploiter	unmatched		
lfifreak	unmatched		
lfimap	unmatched		
lfisuite	unmatched		
lfle	unmatched		
lft	unmatched		
lhasa	direct	lhasa	exact-validated
lhf	unmatched		
lib2geom	direct	lib2geom	exact-validated
lib32-gtk2	unmatched		
lib32-nvidia-utils	unmatched		
lib32-opencl-nvidia	unmatched		
lib32-pipewire-jack	unmatched		
libabw	direct	libabw	exact-validated
libadwaita	direct	libadwaita	exact-validated
libaec	direct	libaec	exact-validated
libaemu	unmatched		
libao	direct	libao	exact-validated
libappindicator	direct	libappindicator	exact-validated
libatomic_ops	direct	libatomic_ops	exact-validated
libayatana-appindicator	direct	libayatana-appindicator	exact-validated
libayatana-indicator	direct	libayatana-indicator	exact-validated
libbde	direct	libbde	exact-validated
libburn	direct	libburn	exact-validated
libc-database	unmatched		
libcacard	direct	libcacard	exact-validated
libcddb	direct	libcddb	exact-validated
libcdio-paranoia	direct	libcdio-paranoia	exact-validated
libcdr	direct	libcdr	exact-validated
libcec	direct	libcec	exact-validated
libcmis	direct	libcmis	exact-validated
libcue	direct	libcue	exact-validated
libdatachannel	direct	libdatachannel	exact-validated
libdex	direct	libdex	exact-validated
libdisasm	unmatched		
libdispatch	unmatched		
libdvdcss	direct	libdvdcss	exact-validated
libe-book	direct	libe-book	exact-validated
libepubgen	direct	libepubgen	exact-validated
libetonyek	direct	libetonyek	exact-validated
libetpan	direct	libetpan	exact-validated
libev	direct	libev	exact-validated
libexif	direct	libexif	exact-validated
libexttextcat	direct	libexttextcat	exact-validated
libfabric	direct	libfabric	exact-validated
libffado	direct	libffado	exact-validated
libfilezilla	direct	libfilezilla	exact-validated
libfprint	direct	libfprint	exact-validated
libfreehand	direct	libfreehand	exact-validated
libfvde	unmatched		
libgccjit	direct	libgccjit	exact-validated
libgee	direct	libgee	exact-validated
libgexiv2	unmatched		
libgig	direct	libgig	exact-validated
libgit2-glib	direct	libgit2-glib	exact-validated
libgnomekbd	direct	libgnomekbd	exact-validated
libgoa	unmatched		
libgovirt	direct	libgovirt	exact-validated
libgphoto2	direct	libgphoto2	exact-validated
libgpod	direct	libgpod	exact-validated
libgravatar	unmatched		
libgsf	direct	libgsf	exact-validated
libgweather-4	unmatched		
libhandy	direct	libhandy	exact-validated
libharu	direct	libharu	exact-validated
libheif	direct	libheif	exact-validated
libical	direct	libical	exact-validated
libid3tag	direct	libid3tag	exact-validated
libieee1284	direct	libieee1284	exact-validated
libimagequant	direct	libimagequant	exact-validated
libinput-gestures-qt	unmatched		
libisoburn	direct	libisoburn	exact-validated
libisofs	direct	libisofs	exact-validated
libixion	direct	libixion	exact-validated
libjuice	unmatched		
libkdcraw5	unmatched		
libkdepim	unmatched		
libkeyfinder	direct	libkeyfinder	exact-validated
libkgapi	unmatched		
libkleo	unmatched		
libkolabxml	unmatched		
libkomparediff2	unmatched		
libksane	unmatched		
libksieve	unmatched		
liblangtag	direct	liblangtag	exact-validated
liblo	direct	liblo	exact-validated
liblzf	direct	liblzf	exact-validated
libmad	direct	libmad	exact-validated
libmalcontent	unmatched		
libmediainfo	direct	libmediainfo	exact-validated
libmicrohttpd	direct	libmicrohttpd	exact-validated
libmms	direct	libmms	exact-validated
libmp4v2	unmatched		
libmspack	direct	libmspack	exact-validated
libmspub	direct	libmspub	exact-validated
libmwaw	direct	libmwaw	exact-validated
libmypaint	direct	libmypaint	exact-validated
libmythes	unmatched		
libnbd	direct	libnbd	exact-validated
libnet	direct	libnet	exact-validated
libnfs	direct	libnfs	exact-validated
libnumbertext	unmatched		
libodfgen	direct	libodfgen	exact-validated
libolm	unmatched		
libopusenc	direct	libopusenc	exact-validated
liborcus	direct	liborcus	exact-validated
libosinfo	direct	libosinfo	exact-validated
libotf	direct	libotf	exact-validated
libp11	direct	libp11	exact-validated
libpackagekit-glib	unmatched		
libpagemaker	direct	libpagemaker	exact-validated
libpanel	direct	libpanel	exact-validated
libparistraceroute	unmatched		
libpeas	direct	libpeas	exact-validated
libpeas-2	unmatched		
libphonenumber	direct	libphonenumber	exact-validated
libportal	direct	libportal	exact-validated
libportal-gtk3	direct	libportal-gtk3	exact-validated
libportal-gtk4	direct	libportal-gtk4	exact-validated
libpst	direct	libpst	exact-validated
libpwquality	direct	libpwquality	exact-validated
libquotient	unmatched		
libqxp	direct	libqxp	exact-validated
librecad	direct	librecad	exact-validated
libreoffice-fresh	direct	libreoffice-fresh	exact-validated
librest	direct	librest	exact-validated
librevenge	direct	librevenge	exact-validated
librewolf	direct	librewolf	exact-validated
libsbsms	direct	libsbsms	exact-validated
libshumate	direct	libshumate	exact-validated
libsidplayfp	direct	libsidplayfp	exact-validated
libsigc++	unmatched		
libsixel	direct	libsixel	exact-validated
libslirp	direct	libslirp	exact-validated
libsoup	unmatched		
libspeechd	unmatched		
libspelling	direct	libspelling	exact-validated
libspiro	direct	libspiro	exact-validated
libspnav	direct	libspnav	exact-validated
libstaroffice	unmatched		
libtins	direct	libtins	exact-validated
libtorrent	unmatched		
libtorrent-rasterbar	direct	libtorrent-rasterbar	exact-validated
libtpms	direct	libtpms	exact-validated
libtraceevent	direct	libtraceevent	exact-validated
libtracefs	direct	libtracefs	exact-validated
libuninameslist	direct	libuninameslist	exact-validated
libvirt	direct	libvirt	exact-validated
libvirt-dbus	direct	libvirt-dbus	exact-validated
libvirt-glib	direct	libvirt-glib	exact-validated
libvirt-python	unmatched		
libvisio	direct	libvisio	exact-validated
libvncserver	direct	libvncserver	exact-validated
libwebsockets	direct	libwebsockets	exact-validated
libwmf	direct	libwmf	exact-validated
libwpd	direct	libwpd	exact-validated
libwpg	direct	libwpg	exact-validated
libwps	direct	libwps	exact-validated
libxcrypt-compat	unmatched		
libxdp	unmatched		
libxklavier	direct	libxklavier	exact-validated
libxml++2.6	unmatched		
libxmlbird	unmatched		
libxnvctrl	unmatched		
libxpresent	direct	libxpresent	exact-validated
libytnef	direct	libytnef	exact-validated
libzen	direct	libzen	exact-validated
libzmf	direct	libzmf	exact-validated
licenses	unmatched		
lief	direct	lief	exact-validated
liffy	unmatched		
lightbulb	unmatched		
ligolo-mp	unmatched		
ligolo-ng	direct	ligolo-ng	exact-validated
limeaide	unmatched		
limelighter	unmatched		
linenoise-ng	unmatched		
linenum	unmatched		
linikatz	unmatched		
linkedin2username	unmatched		
linkedint	unmatched		
linkfinder	unmatched		
linset	unmatched		
linux-exploit-suggester	direct	linux-exploit-suggester	exact-validated
linux-exploit-suggester.sh	unmatched		
linux-firmware	direct	linux-firmware	exact-validated
linux-firmware-amd	unmatched		
linux-firmware-ti	unmatched		
linux-hardened	unmatched		
linux-hardened-headers	unmatched		
linux-inject	unmatched		
linux-mainline	unmatched		
linux-mainline-headers	unmatched		
linux-smart-enumeration	unmatched		
linux-wifi-hotspot	direct	linux-wifi-hotspot	exact-validated
linux-zen	alias	linux_zen	hyphen-to-underscore
linux-zen-headers	unmatched		
lisa.py	unmatched		
list-urls	unmatched		
litehtml	direct	litehtml	exact-validated
littleblackbox	unmatched		
littlebrother	unmatched		
llama-cpp	direct	llama-cpp	exact-validated
llvm	direct	llvm	exact-validated
lmms	direct	lmms	exact-validated
loadlibrary	direct	loadlibrary	exact-validated
local-php-security-checker	unmatched		
locasploit	unmatched		
lodowep	unmatched		
log-file-parser	unmatched		
log4cplus	direct	log4cplus	exact-validated
log4j-bypass	unmatched		
log4j-scan	unmatched		
logkeys	direct	logkeys	exact-validated
logmepwn	unmatched		
logrotate	direct	logrotate	exact-validated
loic	unmatched		
loki-scanner	unmatched		
lolbas	unmatched		
lollypop	direct	lollypop	exact-validated
loot	unmatched		
lorg	unmatched		
lorsrf	unmatched		
lotophagi	unmatched		
lpsolve	unmatched		
lrzip	direct	lrzip	exact-validated
lsb-release	direct	lsb-release	exact-validated
lsof	direct	lsof	exact-validated
lsp-plugins-lv2	unmatched		
lsrtunnel	unmatched		
lte-cell-scanner	unmatched		
luajit	direct	luajit	exact-validated
luksipc	unmatched		
lulzbuster	unmatched		
luminancehdr	unmatched		
lunar	unmatched		
luyten	unmatched		
lvm2	direct	lvm2	exact-validated
lxpanel	direct	lxpanel	exact-validated
lyricpass	unmatched		
lzip	direct	lzip	exact-validated
lzop	direct	lzop	exact-validated
m17n-db	alias	m17n_db	hyphen-to-underscore
m17n-lib	alias	m17n_lib	hyphen-to-underscore
m3-gen	unmatched		
mac-robber	direct	mac-robber	exact-validated
machinae	unmatched		
maclookup	unmatched		
magescan	unmatched		
magicrescue	direct	magicrescue	exact-validated
magictree	unmatched		
maigret	direct	maigret	exact-validated
mail-crawl	unmatched		
mailcommon	unmatched		
mailimporter	unmatched		
mailsend-go	unmatched		
mailspring	direct	mailspring	exact-validated
make-pdf	unmatched		
maketh	unmatched		
malboxes	unmatched		
malcom	unmatched		
malheur	unmatched		
malice	unmatched		
malicious-pdf	unmatched		
maligno	unmatched		
mallory	unmatched		
malmon	unmatched		
malscan	unmatched		
maltego	direct	maltego	exact-validated
maltrail	unmatched		
maltrieve	unmatched		
