arch_name	nix_attr	mapping_kind
python-wsproto	python3Packages.wsproto	python3-package
python-wxpython	python3Packages.wxpython	python3-package
python-zeroconf	python3Packages.zeroconf	python3-package
python-zipp	python3Packages.zipp	python3-package
python-zope-interface	python3Packages.zope-interface	python3-package
python-zstandard	python3Packages.zstandard	python3-package
rtl-433	rtl_433	hyphen-to-underscore
rtl-wmbus	rtl_wmbus	hyphen-to-underscore
ruby-base64	rubyPackages.base64	ruby-package
ruby-erb	rubyPackages.erb	ruby-package
ruby-ffi	rubyPackages.ffi	ruby-package
ruby-locale	rubyPackages.locale	ruby-package
ruby-multi_json	rubyPackages.multi_json	ruby-package
ruby-racc	rubyPackages.racc	ruby-package
ruby-thor	rubyPackages.thor	ruby-package
terminus-font	terminus_font	hyphen-to-underscore
wqy-zenhei	wqy_zenhei	hyphen-to-underscore
